client_name,client_version_from,client_version_to,release_order,num_commits,insertions,deletions,lines,files,self_driven_sdr
commitizen,2.6.0,2.6.1,22,5,8,8,16,5,TRUE
commitizen,2.6.1,2.6.2,23,1,17,7,24,2,FALSE
commitizen,2.6.2,2.6.3,24,1,2,0,2,1,TRUE
commitizen,2.6.3,2.7.0,25,1,92,9,101,5,FALSE
commitizen,2.7.0,2.7.1,26,1,2,2,4,2,TRUE
commitizen,2.7.1,2.7.2,27,2,8,17,25,2,TRUE
commitizen,2.7.2,2.7.3,28,3,23,11,34,3,FALSE
commitizen,2.7.3,2.7.4,29,1,48,2,50,2,FALSE
commitizen,2.7.4,2.7.5,30,1,3,3,6,2,TRUE
commitizen,2.7.5,2.7.6,31,1,2,2,4,1,TRUE
commitizen,2.7.6,2.8.0,32,3,128,12,140,6,FALSE
commitizen,2.8.0,2.8.1,33,1,1,2,3,1,FALSE
commitizen,2.8.1,2.8.2,34,11,41,8,49,11,FALSE
commitizen,2.8.2,2.8.3,35,28,247,184,431,44,FALSE
commitizen,2.8.3,2.8.4,36,1,1,1,2,1,TRUE
commitizen,2.8.4,2.8.5,37,3,25,15,40,5,FALSE
commitizen,2.8.5,2.8.6,38,5,20,15,35,5,FALSE
commitizen,2.8.6,2.8.7,39,29,170,135,305,35,FALSE
commitizen,2.8.7,2.9.0,40,1,48,41,89,3,TRUE
commitizen,2.9.0,2.9.1,41,4,43,1,44,4,FALSE
commitizen,2.9.1,2.9.2,42,1,28,19,47,3,TRUE
commitizen,2.9.2,2.9.3,43,8,126,59,185,43,FALSE
commitizen,2.9.3,2.9.4,44,17,65,21,86,22,FALSE
commitizen,2.9.4,2.9.5,45,2,284,270,554,39,FALSE
commitizen,2.9.5,2.9.6,46,2,2,2,4,2,FALSE
compression,1.0.0,1.0.1,1,6,16,8,24,7,FALSE
compression,1.0.1,1.0.2,2,10,123,73,196,16,FALSE
compression,1.0.2,1.0.3,3,13,98,126,224,24,FALSE
compression,1.0.3,1.0.4,4,7,411,228,639,14,FALSE
compression,1.0.4,1.0.5,5,2,105,14,119,5,TRUE
compression,1.0.5,1.0.6,6,2,25,4,29,5,TRUE
compression,1.0.6,1.0.7,7,12,75,104,179,17,FALSE
compression,1.0.7,1.0.8,8,2,10,4,14,4,FALSE
compression,1.0.8,1.0.9,9,8,123,21,144,12,FALSE
compression,1.0.9,1.0.10,10,4,58,5,63,6,FALSE
compression,1.0.10,1.0.11,11,2,8,2,10,4,FALSE
compression,1.0.11,1.1.0,12,10,77,38,115,17,FALSE
compression,1.1.0,1.1.1,13,6,19,10,29,10,FALSE
compression,1.1.1,1.1.2,14,4,13,6,19,6,FALSE
compression,1.1.2,1.2.0,15,2,10,4,14,4,TRUE
compression,1.2.0,1.2.1,16,5,58,70,128,8,FALSE
compression,1.2.1,1.2.2,17,4,17,11,28,7,FALSE
compression,1.2.2,1.3.0,18,11,149,59,208,17,FALSE
compression,1.3.0,1.3.1,19,6,39,7,46,9,FALSE
compression,1.3.1,1.4.0,20,5,125,22,147,8,TRUE
compression,1.4.0,1.4.1,21,5,16,11,27,7,FALSE
compression,1.4.1,1.4.2,22,7,40,11,51,11,FALSE
compression,1.4.2,1.4.3,23,3,14,5,19,6,FALSE
compression,1.4.3,1.4.4,24,8,23,13,36,11,FALSE
compression,1.4.4,1.5.0,25,21,154,69,223,37,FALSE
compression,1.5.0,1.5.1,26,2,4,4,8,3,FALSE
